"Title","URL","Resource type","Citation","Year","Number"
"Agriculture in Viet Nam under the impact of climate change.","https://hal.inrae.fr/hal-03456472/document","Book chapter","Le Toan et al.","2021","1"
"Spatio temporal variations in meteorology drought over the Mekong River Delta of Vietnam in the recent decades.","https://doi.org/10.1007/s10333-018-0681-8","Journal article","Lee and Dang","2019","1"
"Impact of Climate Change on East African Coffee Production and Its Mitigation Strategies","https://www.researchgate.net/profile/Habtamu-Megersa/publication/350688535_Impact_of_Climate_Change_on_East_African_Coffee_Production_and_Its_Mitigation_Strategies/links/6257e2eda279ec5dd7f590a4/Impact-of-Climate-Change-on-East-African-Coffee-Production-and-Its-Mitigation-Strategies.pdf","Journal article","Lemma and Megersa","2021","1"
"Land degradation","https://www.ipcc.ch/srccl/chapter/chapter-4/","IPCC Report","Lennart and Humberto","2020","1"
"IMPACTS OF CLIMATE CHANGE ON FARMING SYSTEMS AND LIVELIHOODS IN THE NEAR EAST AND NORTH AFRICA","https://www.fao.org/publications/card/en/c/CA1439EN/","Report","Lewis et al.","2018","1"
"Abundance of pests and diseases in Arabica coffee production systems in Uganda - ecological mechanisms and spatial analysis in the face of climate change","https://agritrop.cirad.fr/584976/1/PhD_Thesis_TL_2017.pdf","Journal article","Liebig et al.","2017","1"
"Status of Food Security in East and Southeast Asia and
Challenges of Climate Change","https://doi.org/10.3390/cli10030040 ","Journal article","Lin et al.","2022","1"
"Reducing flood risks in rural households: survey of perception and adaptation in the Mekong delta.","https://doi.org/10.1007/s10584-015-1416-0","Journal article","Ling et al.","2015","1"
"Adaptation to climate change in the Andes: Gaps in understanding and opportunities for knowledge management","https://www.weadapt.org/system/files_force/adaptation-to-climate-change-in-the-andes.pdf?download=1","Report","Llambí and Garcés","2021","1"
"Nonlinear heat effects on African maize as evidenced by historical yield trials","https://www.nature.com/articles/nclimate1043","Journal article","Lobell et al.","2011","1"
"Maize intercropping in the milpa system. Diversity, extent and importance for nutritional security in the Western Highlands of Guatemala","https://www.nature.com/articles/s41598-021-82784-2","Journal article","Lopez‑Ridaura et al.","2021","1"
"Flood risk management in the Middle East and North Africa (MENA) region","https://www.tandfonline.com/doi/full/10.1080/1573062X.2020.1777754","Article","Loudyi and Kantoush","2020","1"
"Flood risk management in the Middle East and North Africa (MENA) region","https://www.tandfonline.com/doi/full/10.1080/1573062X.2020.1777754","Editorial","Loudyi","2020","1"
"Winning in Africa’s agricultural market","https://www.mckinsey.com/industries/agriculture/our-insights/winning-in-africas-agricultural-market","Report","Lutz et al.","2019","1"
"Blueberry Production in Chile","chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.tandfonline.com/doi/pdf/10.1300/J065v05n01_01
","Journal article","Lyrene and Munoz","2008","1"
"Livestock IPM","https://ipmworld.umn.edu/lysyk-livestock-ipm","Book","Lysyk","2022","1"
"A Review of Small Farmer Land Use and Deforestation in Tropical Forest Frontiers: Implications for Conservation and Sustainable Livelihoods.","https://www.mdpi.com/2073-445X/10/11/1113","Journal article","López-Carr","2021","1"
"Shifting cultivation and forest landscapes in the Amazon.","https://www.slideshare.net/CIFOR/shifting-cultivation-and-forest-landscapes-in-the-amazon","PowerPoint presentation","Løvold","2014","1"
"Large-scale commodity agriculture exacerbates the
climatic impacts of Amazonian deforestation.","https://www.pnas.org/doi/10.1073/pnas.2023787118","Journal article","Maeda et al.","2020","1"
"Conservation agriculture for increasing productivity, profitability and water productivity in rice-wheat system of the Eastern Gangetic Plain","https://www.sciencedirect.com/science/article/pii/S2667010022000282","Journal article","Magar et al.","2022","1"
"Impact of Climate Change on Animal Health, Emerging and Re-emerging Diseases in Africa","https://link.springer.com/chapter/10.1007/978-3-030-45106-6_19","Journal article","Magiri et al.","2021","1"
"A study on soil erosion and its impacts on floods and sedimentation","https://ijret.org/volumes/2014v03/i15/IJRET20140315086.pdf","Journal article","Mahabaleshwara and Nagabhushan","2014","1"
"Extreme Heat: The Urgent Climate Impact","https://www.mei.edu/publications/extreme-heat-urgent-climate-impact","Article","Mahmoud","2021","1"
"Long-term spatio-temporal variability and trends in rainfall and temperature extremes and their potential risk to rice production in Bangladesh.","https://journals.plos.org/climate/article?id=10.1371/journal.pclm.0000009","Journal article","Mainuddin et al.","2022","1"
"From mainstream to niche: How value regimes shift in emerging economy upgrading","https://www.sciencedirect.com/science/article/pii/S0048733322000609","Journal article","Manning","2022","1"
"Impact of Erratic Rainfall from Climate Change on
Pulse Production Efficiency in Lower Myanmar","https://www.mdpi.com/2071-1050/10/2/402","Journal article","Mar et al.","2018","1"
"Latin America and the Caribbean 2030: Future Scenarios","https://publications.iadb.org/publications/english/document/Latin-America-and-the-Caribbean-2030-Future-Scenarios.pdf","IADB Report","Marczak et al.","2021","1"
"Changes in climate and land use over the Amazon Region: Current trends and future variability and trends.","https://www.frontiersin.org/articles/10.3389/feart.2018.00228/full","Journal article","Marengo et al.","2018","1"
"CLIMATE CHANGE ADAPTATION IN THE AFRICAN ROADS SECTOR:CONSTRAINTS, OPPORTUNITIES AND POLICY CHALLENGES.","https://www.research4cap.org/ral/Maritzetal-CSIR-2019-ClimateChangeAdaptationAfricanRoadsSector-PIARC297-190315.pdf","Journal","Maritz et al.","2019","1"
"Forest Dynamics in the Peruvian Amazon: Understanding Processes of Change.","https://link.springer.com/article/10.1007/s11842-018-9408-3","Journal article","Marquardt et al.","2018","1"
"How can we effectively build capacity to adapt to climate change? Insights from Malawi","https://doi.org/10.1080/17565529.2019.1694480","Journal","Mataya et al.","2020","1"
"Water Shortages: Cause of Water Safety in Sub-Saharan Africa","https://www.intechopen.com/chapters/81810","Book","Matchawe et al .","2022","1"
"JOINT EVALUATION OF CONFLICT PREVENTION AND PEACE BUILDING IN THE DEMOCRATIC REPUBLIC OF CONGO","https://www.oecd.org/countries/congo/48859543.pdf","Report","Maybe","2011","1"
"Use It Sustainably or Lose It! The Land Stakes in SDGs for Sub-Saharan Africa","https://www.mdpi.com/2073-445X/9/3/63/pdf","Journal article","Mbow","2020","1"
"Water Scarcity in Latin America and the Caribbean: Myths and Reality","https://ucanr.edu/sites/rosenbergforum/files/313058.pdf","Journal","Mejia","2014","1"
"Determinants of crop-livestock diversification in the mixed farming systems: Evidence from central highlands of Ethiopia","https://agricultureandfoodsecurity.biomedcentral.com/articles/10.1186/s40066-018-0212-2","Journal article","Mekuria and Mekonnen","2018","1"
"Climate Change and Livestock: Impacts, Adaptation, and Mitigation","https://doi.org/10.1016/j.crm.2017.02.001",,"Melissa et al.","2017","1"
"Consolidating the use of reclaimed water for irrigation and infiltration in a semi-arid agricultural valley in Mexico: water management experiences and results","https://iwaponline.com/washdev/article/8/4/679/63652/Consolidating-the-use-of-reclaimed-water-for
","Journal article","Mendoza-Espinosa and Daesslé","2018","1"
"Farmers’ Perceptions of Climate Change and Agricultural Adaptation Strategies in Rural Sahel","https://link.springer.com/article/10.1007/s00267-008-9197-0","Journal article","Mertz et al.","2008","1"
"Population Growth, Climate Change and Pressure on the Land – Eastern and Southern Africa","http://www.gcfsi.isp.msu.edu/","lobal Center for Food Systems Innovation (GCFSI) report.","Messina et al.","2014","1"
"Impacts of Climate Change on Irrigated Agriculture in the Maipo Basin, Chile: Reliability of Water Rights and Changes in the Demand for Irrigation","chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://cpb-us-e1.wpmucdn.com/blogs.cornell.edu/dist/8/4308/files/2015/04/Impacts-of-Climate-Change-on-Irrigated-Agriculture-in-the-Maipo-Basin-Chile-Reliability-of-Water-Rights-and-Changes-in-the-Demand-for-Irrigation-2ed7exz.pdf","Journal article","Meza et al.","2012","1"
"Climate change adaptation among pastoralists communities in sub Saharan Africa","https://www.academia.edu/27968851/Climate_change_adaptation_among_pastoralists_communities_in_sub_Saharan_Africa","Report","Michael","2020","1"
"Impact of sea level rise on the land cover structure in Southeast Asia","https://www.researchgate.net/publication/352144356_Impact_of_sea_level_rise_on_the_land_cover_structure_in_Southeast_Asia","Journal article","Michalak et al.","2021","1"
"Adapting to climate change: Strategies for Brazilian agricultural and livestock systems.","https://www.gov.br/agricultura/pt-br/assuntos/sustentabilidade/plano-abc/arquivo-publicacoes-plano-abc/adapting-to-climate-change-strategies-for-brazilian-agricultural-and-livestock-systems.pdf","Report","Ministry of Agriculture, Livestock and Food Supply","2021","1"
"Climate change profile: Bangladesh.","https://www.government.nl/binaries/government/documenten/publications/2019/02/05/climate-change-profiles/Bangladesh.pdf","Report","Ministry of Foreign Affairs","2018","1"
"2008–2011 snow cover area (SCA) variability over 18 watersheds of the central Chile through MODIS data","https://www.researchgate.net/profile/Guglielmina-Diolaiuti-2/publication/290445236_2008-2011_snow_cover_area_SCA_variability_over_18_watersheds_of_the_central_Chile_through_MODIS_data/links/5699039f08aea14769431b52/2008-2011-snow-cover-area-SCA-variability-over-18-watersheds-of-the-central-Chile-through-MODIS-data.pdf?origin=publication_detail","Report","Minora et al.","2015","1"
"Effects Of Temperature Shocks on Economic Growth And Welfare in Asia.","https://www.adb.org/sites/default/files/publication/217061/ewp-501.pdf","Journal","Minsoo L. et al.","2016","1"
"An impact of agronomic practices of sustainable rice-wheat crop intensification on food security, economic adaptability, and environmental mitigation across eastern Indo-Gangetic Plains","https://www.sciencedirect.com/science/article/pii/S0378429021001106","Journal article","Mishra et al.","2021","1"
"Helping feed the world with rice innovations: CGIAR research adoption and socioeconomic impact on farmers","https://doi.org/10.1016%2Fj.gfs.2022.100628","Journal article","Mishra et al.","2022","1"
"Kenya County Climate Risk Profile: Nandi County","https://hdl.handle.net/10568/115070","Report","MoALFC and World Bank","2021","1"
"Chapter 11- Drylands of the Mediterranean Basin: Challenges, Problems and Prospects. In: Climate variability impacts on land use and livelihoods in drylands.","https://books.google.co.za/books?id=3XIzDwAAQBAJ&pg=PA237&lpg=PA237&dq=drylands+sheep+mena&source=bl&ots=A-ClpEBlNr&sig=ACfU3U3PwPXI6wYB-i_h2dqzDNIQA_VByQ&hl=en&sa=X&ved=2ahUKEwjDub-u-vf3AhXMYMAKHTlOB3oQ6AF6BAgcEAM#v=onepage&q=drylands%20sheep%20mena&f=false","Book","Mohamed and Squires","2018","1"
"Chapter 15: Middle East and North Africa Livestock Systems. In Squires, R.V. and Bryden, W.L. Eds. Livestock production, management strategies and challenges.","https://www.academia.edu/38648393/Middle_East_and_North_Africa_Livestock_systems?show_translation=true","Book","Mohamed et al.","2019","1"
"Mapping India’s Climate Vulnerability: A District-Level Assessment.","https://www.ceew.in/sites/default/files/ceew-study-on-climate-change-vulnerability-index-and-district-level-risk-assessment.pdf","Report","Mohanty and Wadhawan","2021","1"
"Rice and climate change: significance for food security and vulnerability","http://books.irri.org/DPS49_content.pdf","Report","Mohanty et al.","2013","1"
"Water-Saving Agricultural Technologies: Regional Hydrology Outcomes and Knowledge Gaps in the Eastern Gangetic Plains—A Review","https://www.mdpi.com/2073-4441/13/5/636","Journal article","Mojid and Mainuddin","2021","1"
"Impacts of Climate Change on Fisheries in the Coastal and Marine Environments of Caribbean Small Island Developing States (SIDS)","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/605077/10._Fisheries_combined.pdf","Journal","Monnereau and Oxenford","2017","1"
"Barriers, incentives and benefits in the
adoption of climate-smart agriculture
Lessons from the MICCA pilot project in Kenya","https://www.fao.org/3/i4396e/i4396e.pdf","Report","Morgon et al.","2015","1"
"Hurricane Mitch and the Livelihood of the Rural Poor in Honduras","https://www.researchgate.net/publication/233572097_Hurricane_Mitch_and_the_Livelihood_of_the_Rural_Poor_in_Honduras","Article","Morris et al.","2002","1"
"Future Foodscapes: Re-imagining Agriculture in Latin America and the Caribbean.","https://openknowledge.worldbank.org/bitstream/handle/10986/34812/Future-Foodscapes-Re-imagining-Agriculture-in-Latin-America-and-the-Caribbean.pdf?sequence=1&isAllowed=y","Report","Morris et al.","2020","1"
"Adapting to drought in the Sahel: Lessons for climate change","https://doi.org/10.1002/wcc.25","Journal article","Mortimore","2009","1"
"The impact of climate change on smallholder and subsistence agriculture","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2148357/","Report","Morton et al.","2007","1"
"Climate change and agricultural vulnerability: a case study of rain-fed wheat in Kairouan, Central Tunisia. Regional Environmental Change.","doi:10.1007/s10113-010-0179-4","Report","Mougou et al. 2010.","2010","1"
"Climate Change Impacts on Maize Production in the Warm Heart of Africa","https://doi.org/10.1007/s11269-016-1487-3","Journal article","Msowoya et al.","2016","1"
"Pulses: A Neglected Food Frontier in Asia","https://www.researchgate.net/publication/267041042_Pulses_A_Neglected_Food_Frontier_in_Asia","Conference Paper","Mubarik et al.","2005","1"
"Population pressure and soil quality in Sub-Saharan Africa: Panel evidence from Kenya","https://ideas.repec.org/a/eee/lauspo/v94y2020ics0264837718317861.html","Journal article","Mugizi et al.","2020","1"
"AGRICULTURE AND FOOD INSECURITY RISK
MANAGEMENT IN AFRICA","https://www.fao.org/3/i5936e/i5936e.pdf","report","Mulat et al.","2016","1"
"Forage conservation in sub-Saharan Africa: Review of experiences, challenges, and opportunities","https://acsess.onlinelibrary.wiley.com/doi/full/10.1002/agj2.20954","Journal article","Mulubrhan et al.","2021","1"
"Climate change impacts on sustainable maize production in Sub-Saharan Africa: a review","https://books.google.com/books?hl=en&lr=&id=cEv9DwAAQBAJ&oi=fnd&pg=PA47&dq=climate+change+impacts+on+maize+in+africa&ots=asxFZLdr7e&sig=dd9qSs-VwAt3s1XgbAVgt1tX7B8","Book chapter","Mulungu and Ng'ombe","2019","1"
"Climate Change Impacts on Sustainable Maize Production in Sub-Saharan Africa: A Review","https://www.intechopen.com/chapters/70098",,"Mulungu et al.","2019","1"
"Combating Climate Change in the Kenyan Tea Industry","https://doi.org/10.3389/fpls.2020.00339","Journal article","Muoki et al.","2020","1"
"Household livelihood diversification in rural Africa","https://onlinelibrary.wiley.com/doi/full/10.1111/agec.12694","Journal article","Musumba et al.","2022","1"
"Synthesis on application of multi-stakeholder platforms for land restoration and sustainable land management in Tanzania","https://cgspace.cgiar.org/handle/10568/116962","Synthesis document","Mwongera and Gichuru","2021","1"
"Umwelt und Mensch im Naturraum (Environment and people in nature). In: Peru heute: Politik, Wirtschaft, Kultur","https://core.ac.uk/download/pdf/304707415.pdf","Book","Mächtle","2016","1"
,"https://mdpi-res.com/d_attachment/ijgi/ijgi-10-00794/article_deploy/ijgi-10-00794.pdf?version=1637546470","Article","Namdar","2021","1"
"Effects of climate change on animal production and sustainability of Livestock Systems.","https://doi.org/10.1016/j.livsci.2010.02.011","Article","Nardone et al.","2010","1"
"Rising Salinity Threatens Rice Crops on Southeast Asia’s Sinking Coast","https://www.voanews.com/a/rising-salinity-threatens-rice-crops-on-southeast-asia-s-sinking-coast-/6729518.html","Report","Narin","2022","1"
"Important alien and potential native invasive insect pests of key fruit trees in Sub-Saharan Africa: advances in sustainable pre- and post-harvest management approaches","https://cabiagbio.biomedcentral.com/articles/10.1186/s43170-022-00074-x","Journal article","Ndlela et al.","2022","1"
"The influence of Climate Change on Wheat Production: A review study on Northeast Syria","https://immap.org/wp-content/uploads/2016/12/Review-Study_Climate-Change-and-its-influence-on-Wheat-Production-in-NES.pdf","Report","NES Agriculture Working Group","2022","1"
"Climate Smart Agriculture? Governing the Sustainable Development Goals in Sub-Saharan Africa.","https://doi.org/10.3389/fsufs.2019.00055","Research article","Newell et al.","2019","1"
"Water resources management for smallholder farming systems adaptation to climate change in sub-Saharan Africa","https://www.researchgate.net/publication/293148679_Water_resources_management_for_smallholder_farming_systems_adaptation_to_climate_change_in_sub-Saharan_Africa","Journal","Ngigi and Denning","2011","1"
"Livestock diversification for improved resilience and welfare outcomes under climate risks in Kenya.","https://link.springer.com/article/10.1057/s41287-020-00308-6","Journal","Ngigi et al.","2021","1"
"Climate Smart Agriculture in Vietnam","https://ccafs.cgiar.org/resources/publications/climate-smart-agriculture-vietnam","CGIAR report","Nguyen et al.","2017","1"
"Southeast Asia and Pacific Islands: The Impact of Climate Change to 2030","https://www.dni.gov/files/documents/climate2030_southeast_asia_pacific_islands.pdf","Report","NIC","2009","1"
"Climate change shifts agropastoral-pastoral margins in Africa putting food security and livelihoods at risk","https://iopscience.iop.org/article/10.1088/1748-9326/ac87c1","Journal article","Nidumolu etal.","2022","1"
"Flooded Asia: Climate change hits region the hardest","https://asia.nikkei.com/Spotlight/Asia-Insight/Flooded-Asia-Climate-change-hits-region-the-hardest","Article","Nithin Coca","2020","1"
"Maize production systems, farmers’ perception and current status of maize lethal necrosis in selected counties in Kenya","https://www.tandfonline.com/doi/full/10.1080/26895293.2022.2085815","Journal article","Njeru et al.","2022","1"
"Women and Agriculture The Untapped Opportunity in the Wave of Transformation","https://www.afdb.org/fileadmin/uploads/afdb/Documents/Events/DakAgri2015/Women_and_Agriculture_The_Untapped_Opportunity_in_the_Wave_of_Transformation.pdf","Paper","Njobe","2015","1"
"Economics of Land Degradation in Sub-Saharan Africa","https://link.springer.com/chapter/10.1007/978-3-319-19168-3_9","Journal article","Nkonya et al.","2016","1"
"Economics of Land Degradation and Improvement in Kenya","https://link.springer.com/chapter/10.1007/978-3-319-19168-3_16","Journal article","Nkonya et al.","2016","2"
"Economics of Land Degradation in Sub-Saharan Africa","https://link.springer.com/chapter/10.1007/978-3-319-19168-3_9","Journal article","Nkonya et al.","2021","3"
"Economics of Land Degradation and Improvement – A Global Assessment for Sustainable Development pp 215–259","https://link.springer.com/chapter/10.1007/978-3-319-19168-3_9","Journal","Nkonya.","2016","1"
"Sub-Saharan Africa: Effects of Infrastructure Conditions on Export Competitiveness, Third Annual Report","https://www.usitc.gov/publications/332/pub4071.pdf","Book chapter","No et al.","2009","1"
"Amazonian Forest: The Products of Agroecological Systems Considerations about the Natural Forest and Economic Exploitation for its Conservation and How to Develop Sustainable Agroforestry Systems that Induce the Reduction of Deforestation.","https://publications.iadb.org/publications/english/document/Amazonian-Forest-The-Products-of-Agroecological-Systems-Considerations-about-the-Natural-Forest-and-Economic-Exploitation-for-its-Conservation-and-How-to-Develop-Sustainable-Agroforestry-Systems-that-Induce-the-Reduction-of-Deforestation.pdf","Report","Nobre et al.","2021","1"
"Increased risk of malaria transmission with warming temperature in the Ethiopian Highlands","https://iopscience.iop.org/article/10.1088/1748-9326/ab7520/pdf","Journal article","Noriko et al.","2020","1"
"Delving into possible missing links for attainment of food security in Central Malawi: farmers’ perceptions and long term dynamics in maize (Zea mays L.) production","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8167231/","Journal article","Nyirenda et al.","2021","1"
"ASSESSMENT OF IMPACTS OF CLIMATE CHANGE AND VARIABILITY ON FOOD SECURITY IN WEST POKOT COUNTY, KENYA","https://ir-library.ku.ac.ke/bitstream/handle/123456789/14291/Assessment%20of%20impact%20of%20climate.....pdf?sequence=1&isAllowed=y","Journal article","OBWOCHA et al.","2015","1"
"The Use of Water in Agriculture in Mexico and Its
Sustainable Management: A Bibliometric Review","https://www.mdpi.com/2073-4395/10/12/1957","Journal article","Ochoa-Noriega","2020","1"
"Initiative to raise awareness on climate change impacts","https://www.scidev.net/sub-saharan-africa/news/initiative-awareness-on-climate-change-impacts/","Article","Odhiambo","2016","1"
"Financing Large-Scale Mitigation by Smallholder Farmers: What Roles for Public Climate Finance?","https://doi.org/10.3389/fsufs.2019.00003","Journal","Odhong' et al.","2019","1"
"Livestock and regional market in the Sahel and West Africa—potentials and challenges.","https://www.oecd.org/swac/publications/41848366.pdf","Report","OECD","2008","1"
"The Middle East and North Africa: Prospects and Challenges.","https://www.oecd-ilibrary.org/agriculture-and-food/oecd-fao-agricultural-outlook-2018-2027/the-middle-east-and-north-africa-prospects-and-challenges_agr_outlook-2018-5-en","Report","OECD/FAO","2018","1"
"OECD- FAO Agricultural Outlook","https://www.oecd-ilibrary.org/agriculture-and-food/oecd-fao-agricultural-outlook-2018-2027_agr_outlook-2018-en",,"OECD/FAO","2018","2"
"Climate Change, Land, Water, and Food Security: Perspectives From Sub-Saharan Africa","https://www.frontiersin.org/articles/10.3389/fsufs.2021.680924/full","Article","Ofori et al.","2021","1"
"Climate Change, Land, Water, and Food Security: Perspectives From Sub-Saharan Africa","https://www.frontiersin.org/articles/10.3389/fsufs.2021.680924/full","Journal article","Ofori et al.","2021","2"
"Maize Lethal Necrosis: Impact and Disease Management","https://doi.org/10.1564/v33_apr_02","Report","Ohlson and Wilson","2022","1"
"Improving efficiency of knowledge and technology diffusion using community seed banks and farmer-to-farmer extension: experiences from Malawi",,"Journal article","Okori and Munthali","2022","1"
"How innovative water management helps Latin America and the Caribbean adapt to climate change.","https://gca.org/how-innovative-water-management-helps-latin-america-and-the-caribbean-adapt-to-climate-change/","Global Center on Adaptation Report","Oliver","2020","1"
"Land Degradation. In: Climate Change and Land: an IPCC special report on climate change, desertification, land degradation, sustainable land management, food security, and greenhouse gas fluxes in terrestrial ecosystems","https://www.ipcc.ch/site/assets/uploads/sites/4/2019/11/07_Chapter-4.pdf","Report","Olsson et al.","2019","1"
"Urban Poverty in Asia","https://www.adb.org","ADB Report","Om Prakash","2013","1"
"Regional Overview on the Double Burden of Malnutrition and Examples of Program and Policy Responses: African Region","https://doi.org/10.1159/000503671","Article","Onyango","2019","1"
"Input Supply Structure for Yam Production in Ghana","https://www.researchgate.net/publication/295920584_Input_Supply_Structure_for_Yam_Production_in_Ghana","Journal article","Osei-Adu et al.","2016","1"
"Changes in land tenure and agricultural intensification in sub-Saharan Africa","https://www.researchgate.net/publication/336695963_Changes_in_land_tenure_and_agricultural_intensification_in_sub-Saharan_Africa","Book chapter","Otsuka and Place","2014","1"
"A comparative Overview of the Livestock-Environment Interactions in Asia and Sub-Saharan Africa.","https://www.ncbi.nlm.nih.gov/pmc/articles/pmc6395385/","Journal","Otte et al.","2019","1"
"Crop disease pandemic coming ‘sooner rather than later’","https://www.scidev.net/sub-saharan-africa/features/crop-disease-pandemic-coming-sooner-rather-than-later-2/","report","Owings","2020","1"
"Climate change impacts on staple root and tuber crops production: implications for smallholder farmers' livelihoods in rural Ghana","https://www.inderscienceonline.com/doi/abs/10.1504/IJSSOC.2020.109771","Journal article","Owusu et al.","2020","1"
"New Zealand's $50,000 humanitarian aid to Ben Tre. Retrieved March 4th , 2022,
from Vietnam Investment Review:","https://vietnam.oxfam.org/latest/press-release/new-zealand-embassy-announces-50000-usd-humanitarian-aid-ben-tre","News article","OXFAM","2016","1"
"Unfair harvest: The state of rice in Asia","https://oxfamilibrary.openrepository.com/bitstream/handle/10546/620646/bp-unfair-harvest-rice-asia-200319-en.pdf ","Report","Oxfam","2019","1"
"Unfair harvest: the state of rice in Asia.","https://oxfamilibrary.openrepository.com/bitstream/handle/10546/620646/bp-unfair-harvest-rice-asia-200319-en.pdf","Report","Oxfam","2019","2"
"Learning what works: knowledge exchange and networking among the science system
actors in sub-Saharan Africa.","https://idl-bnc-idrc.dspacedirect.org/bitstream/handle/10625/59538/59686.pdf","Journal","Ozor et al.","2020","1"
"Is climate a “risk multiplier” in the Central American dry corridor? A CGIAR/World Food Programme (WFP) study","https://reliefweb.int/sites/reliefweb.int/files/resources/WFP-0000137636.pdf","Fact sheet","Pacillo et al.","2022","1"
"Global threat to agriculture from invasive species","https://doi.org/10.1073/pnas.1602205113","Journal Article","Paini et al.","2016","1"
"Mechanisms of Waterlogging Tolerance in Plants: Research Progress and Prospects","https://www.frontiersin.org/articles/10.3389/fpls.2020.627331/full","Journal article","Pan et al.","2021","1"
"RICE PRODUCTION IN THE ASIA-PACIFIC REGION: ISSUES AND PERSPECTIVES","https://www.fao.org/3/x6905e/x6905e04.htm","Journal article","Papademetriou",,"1"
"In South Asia, Rising Ocean Pushes Out Those Living at the Shore","https://www.voanews.com/a/south-central-asia_south-asia-rising-ocean-pushes-out-those-living-shore/6219259.html","Report","Pasricha","2021","1"
"Water Conflicts in Sub-Saharan Africa","https://doi.org/10.3389/fenvs.2022.863903","Journal","Pena-Ramos et al.","2022","1"
"Climate Change in the High Andes: Implications and Adaptation Strategies for Small-scale Farmers","https://www.researchgate.net/profile/Stephen-Sherwood/publication/307762405_Climate_Change_in_the_High_Andes_Implications_and_Adaptation_Strategies_for_Small-scale_Farmers/links/57d030d508ae6399a389d3dd/Climate-Change-in-the-High-Andes-Implications-and-Adaptation-Strategies-for-Small-scale-Farmers.pdf?origin=publication_detail","Journal","Perez et al.","2010","1"
"Rural roads: key routes for production, connectivity and territorial development","https://repositorio.cepal.org/bitstream/handle/11362/45865/1/S2000417_en.pdf","Report","Perez","2020","1"
"Agriculture and the threat to biodiversity in sub-saharan africa","https://iopscience.iop.org/article/10.1088/1748-9326/10/9/095015","Journal article","Perrings and Halkos","2015","1"
"The Economic Infrastructural Gap in Latin America and Caribbean","https://repositorio.cepal.org/bitstream/handle/11362/36339/FAL-293-WEB-ENG-2_en.pdf",,"Perrotti","2011","1"
"Landslide Risk Assessment for the Built Environment in Sub-Saharan Africa.","https://www.researchgate.net/publication/317806384_Landslide_Risk_Assessment_for_the_Built_Environment_in_Sub-Saharan_Africa","Book","Peter et al.","2017","1"
"Importance of determining the climatic domains of sheep breeds.","https://www.sciencedirect.com/science/article/pii/S1751731117002944","Journal article","Petit and Boujenane","2018","1"
"On the impact of climate change and population growth on the occurrence of fatal landslides in South, East and SE Asia","https://www.researchgate.net/publication/277417820_On_the_impact_of_climate_change_and_population_growth_on_the_occurrence_of_fatal_landslides_in_South_East_and_SE_Asia","Journal","Petley","2010","1"
"Drought impacts on water quality and potential
implications for agricultural production in the
Maipo River Basin, Central Chile","https://doi.org/10.1080/02626667.2020.1711911","Journal article","Peña-Guerrero et al.","2020","1"
"Vulnerability assessment of households to flash floods and landslides in the poor upland regions of Vietnam","https://doi.org/10.1016/j.crm.2020.100215","Journal article","Pham et al.","2020","1"
"Perceptions of Climate Change and Drivers of Insect Pest Outbreaks in Vegetable Crops in Limpopo Province of South Africa","https://www.mdpi.com/2225-1154/8/2/27/htm","Journal article","Phophi et al.","2020","1"
"Evaluating barley landraces collected in North Africa and the Middle East for powdery mildew infection at seedling and adult plant stages.","https://doi.org/10.1007/s4297 6-020-00021-4 ","Journal article","Piechota et al.","2020","1"
"Climate Change Impacts on Sugarcane Production
in Thailand","https://www.mdpi.com/2073-4433/11/4/408","Journal article","Pipitpukdee et al.","2020","1"
"Understanding Brazil’s catastrophic fires: Causes, consequences and policy needed to prevent future tragedies.","https://www.sciencedirect.com/science/article/pii/S2530064421000560?via%3Dihub","Journal article","Pivello et al.","2021","1"
"Is conservation agriculture a potential option for
cereal-based sustainable farming system in the
Eastern Indo-Gangetic Plains of Nepal?","https://www.tandfonline.com/doi/full/10.1080/23311932.2018.1557582","Journal article","Pokharel et al.","2018","1"
"The key role of dry days in changing regional climate and precipitation regimes","https://rdcu.be/cMrDf",,"Polade et al.","2014","1"
"Climate Extremes, Food Insecurity, and Migration in Central America: A Complicated Nexus","https://reliefweb.int/report/guatemala/climate-extremes-food-insecurity-and-migration-central-america-complicated-nexus","Journal article","Pons","2021","1"
"Land use/land cover change and extreme climatic 
events in the arid and semi-arid ecoregions of Mexico","file:///C:/Users/Gavin/Dropbox/Gav/CRISP/Research/Latin%20America%20Irrigated/Resources/Cattle%20Articles/Pontifes%202018.html
","Journal article","Pontifes et al.","2018","1"
"Rural poverty in Mexico: assets and livelihood strategies among the Mayas of Yucata´n.","www.earthscanjournals.com","International Journal of Agricultural Sustainability","Poole et al.","2007","1"
"Rural poverty in Mexico: assets and livelihood strategies among the Mayas of Yucata ́n","https://www.researchgate.net/publication/233176668_Rural_poverty_in_Mexico_Assets_and_livelihood_strategies_among_the_Mayas_of_Yucatan",,"Poole et al.","2007","2"
